FED
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped?,Dwgs Needed in Shop,GoogleSheetRowNumber,GoogleSheetLink
2222,FED,Sequence,4,Chevy Chase - Stair Canopy ,,Mike D,,11/11/1899,4672,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4672
2222,FED,Sequence,5,Chevy Chase - Egrees Stair,,Mike D,,11/11/1899,4674,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4674
2222,FED,Sequence,6,Chevy Chase - Elevator & Trail connector Stair,,Mike D,,11/11/1899,4675,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4675
2222,FED,Sequence,7,Bethesda Enclosed Trainway (BET) / Switchboard Room Slab Support Steel,,Mike D,,,4676,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4676
2222,FED,Sequence,8,Silver Spring Transit Center - Platform,,Mike D,,11/11/1899,4677,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4677
2222,FED,Sequence,9,Silver Spring Transit Center - Stair Framing,,Mike D,,11/11/1899,4678,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4678
2222,FED,Sequence,10,Silver Spring Transit Center - Elevator,,Mike D,,11/11/1899,4679,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4679
2222,FED,Sequence,11,Silver Spring - WMATA Mezz,,Mike D,,11/11/1899,4680,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4680
2222,FED,Sequence,12,Riverdale Park - Platform,,Mike D,,11/11/1899,4682,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4682
2222,FED,Sequence,13,Riverdale Park - West Stair Canopy,,Mike D,,,4683,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4683
2222,FED,Sequence,14,Riverdale Park - West Elevator,,Mike D,,,4684,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4684
2222,FED,Sequence,15,Riverdale Park - East Stair Canopy,,Mike D,,,4685,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4685
2222,FED,Sequence,16,Riverdale Park - East Elevator,,Mike D,,,4686,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4686
