CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2216,CSM,Sequence,1,"T001, T003, T013",11/15/2022,Mustafa ,,4165,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4165
2216,CSM,Sequence,10,T015 T016,12/8/2022,Mustafa ,,4175,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4175
2216,CSM,Sequence,11,T017,12/8/2022,Mustafa ,,4176,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4176
2216,CSM,Sequence,12,"T004, T018",12/12/2022,Mustafa ,,4177,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4177
2216,CSM,Sequence,13,T017,12/12/2022,Mustafa ,,4178,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4178
2216,CSM,Sequence,14,T017,12/14/2022,Mustafa ,,4179,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4179
2216,CSM,Sequence,15,"T017, T019",12/19/2022,Mustafa ,Missing W33X130x52'- FED AS15004-T019,4180,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4180
2216,CSM,Sequence,16,T019,12/21/2022,Mustafa ,,4181,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4181
2216,CSM,Sequence,17,"T019, T034",12/27/2022,Mustafa ,,4182,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4182
2216,CSM,Sequence,18,"T019, T020",1/6/2023,Mustafa ,,4183,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4183
2216,CSM,Sequence,19,T020,1/6/2023,Mustafa ,Missing W33X130- FED AS19002-T020,4184,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4184
2216,CSM,Sequence,2,"T002, T003, T013",11/16/2022,Mustafa ,,4166,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4166
2216,CSM,Sequence,20,T020,1/9/2023,Mustafa ,,4185,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4185
2216,CSM,Sequence,21,T020,1/17/2023,Mustafa ,,4186,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4186
2216,CSM,Sequence,22,"T023, T029, T035",11/1/2022,Mustafa ,,4188,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4188
2216,CSM,Sequence,23,"T023, T029, T035",11/1/2022,Mustafa ,,4189,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4189
2216,CSM,Sequence,24,T076,1/19/2023,Mustafa ,,4190,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4190
2216,CSM,Sequence,25,T077,1/23/2023,Mustafa ,,4191,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4191
2216,CSM,Sequence,27,T077 T078,1/25/2023,Mustafa ,,4193,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4193
