FED
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped?,Dwgs Needed in Shop,GoogleSheetRowNumber,GoogleSheetLink
2222,FED,Sequence,4,Chevy Chase - Stair Canopy ,,Brian H,,11/11/1899,4748,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4748
2222,FED,Sequence,5,Chevy Chase - Egrees Stair,,Brian H,,11/11/1899,4749,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4749
2222,FED,Sequence,6,Chevy Chase - Elevator & Trail connector Stair,,Brian H,,11/11/1899,4750,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4750
2222,FED,Sequence,8,Silver Spring Transit Center - Platform,,Brian H,,11/11/1899,4753,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4753
2222,FED,Sequence,9,Silver Spring Transit Center - Stair Framing,,Brian H,,11/11/1899,4754,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4754
2222,FED,Sequence,10,Silver Spring Transit Center - Elevator,,Brian H,,11/11/1899,4755,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4755
2222,FED,Sequence,11,Silver Spring - WMATA Mezz,,Brian H,,11/11/1899,4756,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4756
2222,FED,Sequence,12,Riverdale Park - Platform,,Brian H,,11/11/1899,4757,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4757
2222,FED,Sequence,13,Riverdale Park - West Stair Canopy,,Brian H,,11/11/1899,4758,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4758
2222,FED,Sequence,14,Riverdale Park - West Elevator,,Brian H,,11/11/1899,4759,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4759
2222,FED,Sequence,15,Riverdale Park - East Stair Canopy,,Brian H,,11/11/1899,4760,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4760
2222,FED,Sequence,16,Riverdale Park - East Elevator,,Brian H,,11/11/1899,4761,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4761
