CSF
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,Dwgs Needed in Shop,GoogleSheetRowNumber,GoogleSheetLink
2125,CSF,Sequence,41,Level 8,12/23/2022,Scott,,11/4/2022,3226,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3226
2125,CSF,Sequence,41,South Tower - Column Reinforcement & Braces,1/6/2022,Scott,Yes,11/18/2021,3257,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3257
2125,CSF,Sequence,71,"7:00 AM Seq 71 Priority 1 NP, SC, and G
",9/6/2022,Scott,Yes,7/19/2022,3136,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3136
2125,CSF,Sequence,71,"7:00 AM Seq 71 Priority 2 NP, SC, and G
",9/16/2022,Scott,Yes,7/29/2022,3137,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3137
2125,CSF,Sequence,71,"7:00 AM LOAD 256/TRAILER CS-7 Seq 71 Priority 3 NP, SC, and G
",9/26/2022,Scott,,8/8/2022,3138,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3138
2125,CSF,Sequence,71,DO NOT DEL- Seq 71 East Shaft Reno Work  (155.41) (Balance) (18 Tons/126 PCS),9/14/2022,Scott,Yes,7/27/2022,3264,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3264
2125,CSF,Sequence,72,930 AM Delivery Balance of Seq 72 PAINTED/NON-PAINTED PLUS SHOPWORK BEAMSTONNAGE IS A GUESS,9/23/2022,Scott,,,3006,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3006
2125,CSF,Sequence,72,Balance of Seq 72 GALVANIZED TONNAGE IS A GUESS,9/29/2022,Scott,,,3007,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3007
2125,CSF,Sequence,72,Balance of Seq 72 PARAPET STEEL TONNAGE IS A GUESS,9/29/2022,Scott,,,3008,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3008
2125,CSF,Sequence,72,Penthouse,8/22/2022,Scott,Yes,7/4/2022,3271,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3271
